inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 03.061,INV 03,0.969273066316968,0.017083695894908442,0.04181163544908657,8067,True,
INV 03.062,INV 03,0.9930276915621477,0.013437570202203911,0.020025394536113534,8162,True,
INV 03.063,INV 03,0.9944980899567096,0.011346848316605847,0.01740135090337661,8073,True,
INV 03.064,INV 03,0.9954870849737966,0.011177693789507993,0.0161447932857618,8058,True,
INV 03.065,INV 03,0.9947522429891031,0.011915853151865148,0.01731828638598122,8023,True,
INV 03.066,INV 03,0.995378216094548,0.011414642247168467,0.01622697210448656,8228,True,
INV 03.067,INV 03,0.9951007983069922,0.010865502846053778,0.01690393442439233,7942,True,
INV 03.068,INV 03,0.99483345245373,0.010808502845140346,0.01730691311074509,8116,True,
INV 03.069,INV 03,0.995315558816873,0.010612726641203645,0.016388216059494906,8153,True,
INV 03.070,INV 03,0.9955752536365864,0.010679790240851018,0.015857993239549114,8098,True,
INV 03.071,INV 03,0.9946590102645968,0.010854695598230628,0.017353032614216383,8083,True,
INV 03.072,INV 03,0.9951590873894033,0.011130395804458999,0.016631884724843535,8133,True,
INV 03.073,INV 03,0.9947181134474394,0.01104220856731135,0.01745213485069301,8154,True,
INV 03.074,INV 03,0.9959406644708397,0.010279167976892564,0.015268387666141376,8044,True,
INV 03.075,INV 03,0.9955259822699908,0.010818388431581895,0.015906744207943253,8098,True,
INV 03.076,INV 03,0.9956376970741762,0.010994589503924748,0.015668310164199985,8065,True,
INV 03.077,INV 03,0.9953863449208689,0.010882323352832315,0.016133194804275344,8116,True,
INV 03.078,INV 03,0.9951974763345868,0.011396276668365674,0.016656727530711526,8180,True,
INV 03.079,INV 03,0.9944162673247209,0.011141213680457267,0.01777389361350086,8060,True,
INV 03.080,INV 03,0.9956088592625445,0.010684613090734953,0.01572633552747402,8150,True,
INV 03.081,INV 03,0.994944002361905,0.011635026023779742,0.016976361508612803,8083,True,
INV 03.082,INV 03,0.9950541381327921,0.010893612302230514,0.01679488627612045,7919,True,
INV 03.083,INV 03,0.990228871502161,0.01207776371460108,0.023633496323664648,8119,True,
INV 03.084,INV 03,0.9933212288956061,0.012715802631774385,0.019465417035798,8068,True,
INV 03.085,INV 03,0.9922979501409258,0.012289451004105634,0.020730097493734202,8095,True,
INV 03.086,INV 03,0.990041573693176,0.012171575691751544,0.023695541496841957,8042,True,
INV 03.087,INV 03,0.994352564310019,0.012039040423841239,0.018174258387546435,8027,True,
INV 03.088,INV 03,0.8832692581176519,0.03602719168975309,0.07889077180162823,8022,True,
INV 03.089,INV 03,0.9940848208354215,0.012188365634624014,0.018359246848422592,8057,True,
INV 03.090,INV 03,0.9874403199355736,0.01266349045297145,0.02666573880976135,8141,True,
INV 03.091,INV 03,0.9909690328515065,0.014986878935396164,0.0224756539875399,8100,True,
INV 03.092,INV 03,0.9943073570729497,0.011343986088152265,0.01792814028578109,8152,True,
INV 03.093,INV 03,0.9570159645636231,0.031424855235611455,0.046040783983566015,7926,True,
INV 04.094,INV 04,0.9919559970870908,0.014931926930419339,0.022020398734537386,8780,True,
INV 04.095,INV 04,0.9910440229880965,0.01560542169207527,0.023241236077667156,8762,True,
INV 04.096,INV 04,0.9908137299508635,0.01537653304905954,0.023180321089340067,8914,True,
INV 04.097,INV 04,0.9917306006033149,0.014755643350943787,0.02231309193597121,8856,True,
INV 04.098,INV 04,0.990150006327938,0.016405370318388016,0.02424890788630314,8738,True,
INV 04.099,INV 04,0.9903094105173779,0.014824159762608157,0.02411852854522889,8781,True,
INV 04.100,INV 04,0.9920820208957664,0.014230232439072048,0.02177567726630101,8842,True,
INV 04.101,INV 04,0.992094607988137,0.013747502394363762,0.02160729401090487,8816,True,
INV 04.102,INV 04,0.9920247522613047,0.01414461174644901,0.02173581742646872,8858,True,
INV 04.103,INV 04,0.9906348710090414,0.015240945394295836,0.023342632515125344,8763,True,
INV 04.104,INV 04,0.9920449282551309,0.014221656684585157,0.02169230460233834,8818,True,
INV 04.105,INV 04,0.99078692024037,0.015061322377580427,0.02337904619336763,8731,True,
INV 04.106,INV 04,0.9917255587258625,0.013934009901844267,0.022110326370250136,8833,True,
INV 04.107,INV 04,0.9893793526277506,0.015916227470477277,0.02494652096016179,8829,True,
INV 04.108,INV 04,0.989390402929527,0.014535079235723638,0.025024393904745274,8694,True,
INV 04.109,INV 04,0.9907485484557406,0.014930325959717952,0.02334128032980459,8748,True,
INV 04.110,INV 04,0.990733809695757,0.01403259150645252,0.0232023554108448,8814,True,
INV 04.111,INV 04,0.9895223596861158,0.014978187492880287,0.02456278601903625,8714,True,
INV 04.112,INV 04,0.9891619130262221,0.01472320303318327,0.025141305245124656,8805,True,
INV 04.113,INV 04,0.9898535016970899,0.014656413096807461,0.024352197309910208,8671,True,
INV 04.114,INV 04,0.9888827348948788,0.01467404475934838,0.02551026888212694,8714,True,
INV 04.115,INV 04,0.9901825881275073,0.014595946188435668,0.023832416829865158,8972,True,
