inverter_id,group_id,success,training_samples,r2,mae_kw,rmse_kw,processing_time_s,error
INV 05.149,INV 05,True,12726,0.9954747662483172,0.012285500021863138,0.01490494325052816,1.887986183166504,
INV 05.150,INV 05,True,12953,0.9953077705725585,0.01288526029614569,0.015462068590729421,1.8196320533752441,
INV 05.138,INV 05,True,13614,0.9946581736180125,0.013031483899242554,0.01556145650170438,3.326531171798706,
INV 05.147,INV 05,True,12560,0.9945103013258666,0.013173004816745187,0.016340207910901086,3.1401562690734863,
INV 03.077,INV 03,True,13035,0.994410487329844,0.014127186564319227,0.01712812573269774,3.193397045135498,
INV 05.136,INV 05,True,13879,0.9943875241409003,0.013149619920335044,0.015953303155590036,3.15681791305542,
INV 04.094,INV 04,True,13418,0.9941229558425082,0.014358754167332533,0.01737181486162698,3.7288241386413574,
INV 05.125,INV 05,True,13910,0.9941097185779975,0.013386435572752247,0.017259587228617375,3.685296058654785,
INV 05.123,INV 05,True,13852,0.9939294509690799,0.014340354318569577,0.017565836757083262,3.420522928237915,
INV 05.131,INV 05,True,14018,0.99392466325942,0.013421510667899683,0.01748512114991507,3.504903793334961,
INV 05.146,INV 05,True,12724,0.9938868448577445,0.013848233628471995,0.01706552172926988,3.2576029300689697,
INV 05.133,INV 05,True,13899,0.9937994206029891,0.013995151444667182,0.01781444730694836,3.466893196105957,
INV 04.116,INV 04,True,13514,0.9937759268223145,0.014559454715036736,0.01800529026138565,3.077446222305298,
INV 05.122,INV 05,True,13906,0.9937647647060485,0.014606041231287569,0.017721183548673185,3.416105031967163,
INV 05.124,INV 05,True,13965,0.993742444308723,0.01382912596186257,0.017713899026055694,3.5311050415039062,
INV 04.093,INV 04,True,13443,0.993723779989106,0.014862681282965785,0.018189707937763137,3.7134528160095215,
INV 04.117,INV 04,True,13530,0.9937175256261613,0.014487334352404974,0.018180151319469814,3.1481049060821533,
INV 05.137,INV 05,True,13186,0.9936888179429889,0.01489234559977733,0.01842672262641351,3.3132400512695312,
INV 05.126,INV 05,True,13962,0.9936802798921263,0.013690217211738347,0.01789512924877382,3.6744537353515625,
INV 05.134,INV 05,True,13933,0.9936243429104856,0.014160283244669692,0.018164230914925673,3.2734322547912598,
INV 04.091,INV 04,True,13753,0.9935866234695274,0.01474222787169645,0.018056148830107,3.7054789066314697,
INV 05.127,INV 05,True,14076,0.9935462049539454,0.01348212852957215,0.018042438002512023,3.6765241622924805,
INV 04.095,INV 04,True,13364,0.9935448152020974,0.014753893850297252,0.018402498382295386,3.5910558700561523,
INV 05.139,INV 05,True,13870,0.993514389310997,0.01356935290702407,0.018176925114171488,3.4766252040863037,
INV 03.076,INV 03,True,13329,0.9934843411289563,0.015061340938598908,0.01834530937968359,3.2997071743011475,
INV 05.128,INV 05,True,14045,0.9934558203661038,0.013607001721959616,0.018039011034212064,3.6264092922210693,
INV 04.120,INV 04,True,13499,0.9934059086822131,0.014585152956708031,0.018361267464900095,2.0261707305908203,
INV 03.075,INV 03,True,13252,0.9934023678725274,0.015192443826490277,0.018522357380299687,3.374392032623291,
INV 04.119,INV 04,True,13608,0.99339055051237,0.015226580567066253,0.0183897688773994,1.9786851406097412,
INV 03.074,INV 03,True,13773,0.9933756900266354,0.015707610432168877,0.019099615265410947,3.452958822250366,
INV 05.140,INV 05,True,13886,0.9933593688489032,0.014108417326798194,0.018196011538171363,3.4528648853302,
INV 04.118,INV 04,True,13466,0.9933279235382524,0.014977988768070136,0.018420206456520354,2.947181224822998,
INV 04.099,INV 04,True,13734,0.9933019594036917,0.01452508820475401,0.01804899387461109,3.58260178565979,
INV 05.132,INV 05,True,14010,0.9932988487840517,0.013894542197588932,0.01850773852336456,3.588358163833618,
INV 04.092,INV 04,True,13559,0.993290364573501,0.014851863381901325,0.01864880629786335,3.823852062225342,
INV 04.113,INV 04,True,13195,0.9932179496578581,0.014386396567837245,0.01834945931469936,3.393704891204834,
INV 04.096,INV 04,True,13416,0.9931978072805399,0.015157560762381922,0.018815023157427453,3.612308979034424,
INV 05.130,INV 05,True,13834,0.993186900138494,0.014037489917522903,0.018491875274423884,3.4411990642547607,
INV 05.141,INV 05,True,13945,0.9930958392423384,0.014462038967776784,0.018600776433455986,3.473378896713257,
INV 05.144,INV 05,True,13155,0.9930719665177709,0.014928726536543271,0.018420145080336178,3.0841948986053467,
