inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 01.010,INV 01,0.994220498943146,0.012271724923987795,0.018659156835602226,55432,True,
INV 01.011,INV 01,0.9943780996567101,0.012060225424345785,0.018381365130261434,56361,True,
INV 01.012,INV 01,0.9942866573426556,0.012087597883767098,0.018470929110938613,56252,True,
INV 01.013,INV 01,0.9942230269741688,0.012008083689327962,0.018394192804044137,57039,True,
INV 01.014,INV 01,0.9939236258005492,0.012877671703656056,0.018728394939452032,57131,True,
INV 01.015,INV 01,0.9943350435299306,0.012048482979335879,0.018255992799427908,56305,True,
INV 01.016,INV 01,0.9942066409699488,0.012263872012481811,0.018512759502573053,56543,True,
INV 01.017,INV 01,0.9933214104385002,0.013262526688350413,0.019909070619260984,57394,True,
INV 01.018,INV 01,0.9935712146228955,0.013063923649965632,0.01930189412329336,57256,True,
INV 01.019,INV 01,0.9938265095986684,0.01289360546699768,0.019144963517258258,55540,True,
INV 01.020,INV 01,0.9945104670072057,0.011825531816171502,0.0178949507306707,58545,True,
INV 01.021,INV 01,0.9945130529915676,0.011843441904901433,0.017932840163693165,57220,True,
INV 01.022,INV 01,0.9941980059266288,0.012405273959312662,0.018545355255562154,55714,True,
INV 01.023,INV 01,0.9940412657012906,0.012670394040721617,0.01870043096745307,56819,True,
INV 01.024,INV 01,0.9947296234986513,0.011624842714632619,0.01757159709267938,58423,True,
INV 01.025,INV 01,0.9946738702957238,0.011831503807409795,0.017860458919410398,58811,True,
INV 01.026,INV 01,0.9946146932131913,0.01176731425465037,0.01801657649794308,58992,True,
INV 01.027,INV 01,0.9946685577582994,0.011394039808318867,0.017861820214318917,59438,True,
INV 01.028,INV 01,0.9947627483660914,0.011450279233078644,0.017538391873152905,59048,True,
INV 01.029,INV 01,0.9945409150015928,0.0114975693201045,0.018090445247559084,57901,True,
INV 01.030,INV 01,0.9948571532999811,0.011256437746653868,0.017450011859897262,59207,True,
INV 02.031,INV 02,0.9942085080244208,0.012313164962703878,0.01865059351825723,57328,True,
INV 02.032,INV 02,0.9945269757419966,0.011815794184500043,0.018048773469927813,57498,True,
INV 02.033,INV 02,0.9945235654076433,0.011826349062478387,0.018104110204883696,58098,True,
INV 02.034,INV 02,0.9942025659052517,0.012082491250576846,0.018488314754832254,57499,True,
INV 02.035,INV 02,0.9942743480385025,0.012162162816536815,0.018318903388476117,57555,True,
INV 02.036,INV 02,0.994177930718812,0.012490833563019346,0.01854489576045617,57075,True,
INV 02.037,INV 02,0.9944903290259077,0.012210158974112118,0.01821348371026835,56722,True,
INV 02.038,INV 02,0.9942144025733715,0.012480440761777234,0.01843519958218017,56229,True,
INV 02.039,INV 02,0.9943844600621391,0.012114197935108031,0.018287666389219647,57757,True,
INV 02.040,INV 02,0.9944245806142041,0.012197419422070583,0.018166331110525905,56363,True,
